date,river_discharge,river_discharge_mean,river_discharge_median,river_discharge_max,river_discharge_min
10/7/2015,0.733804,,,0.733804,0.733804
10/8/2015,0.7988709,,,0.7988709,0.7988709
10/9/2015,0.7823787,,,0.7823787,0.7823787
10/10/2015,0.7498467,,,0.7498467,0.7498467
10/11/2015,0.7498467,,,0.7498467,0.7498467
10/12/2015,0.733804,,,0.733804,0.733804
10/13/2015,0.7021586,,,0.7021586,0.7021586
10/14/2015,0.7988709,,,0.7988709,0.7988709
10/15/2015,0.7741895,,,0.7741895,0.7741895
10/16/2015,0.74180686,,,0.74180686,0.74180686
10/17/2015,0.7100153,,,0.7100153,0.7100153
10/18/2015,0.686553,,,0.686553,0.686553
10/19/2015,0.6634127,,,0.6634127,0.6634127
10/20/2015,0.64058983,,,0.64058983,0.64058983
10/21/2015,0.61808,,,0.61808,0.61808
10/22/2015,0.6032454,,,0.6032454,0.6032454
10/23/2015,0.5848932,,,0.5848932,0.5848932
10/24/2015,0.5848932,,,0.5848932,0.5848932
10/25/2015,0.61808,,,0.61808,0.61808
10/26/2015,0.64058983,,,0.64058983,0.64058983
10/27/2015,0.633052,,,0.633052,0.633052
10/28/2015,0.6255487,,,0.6255487,0.6255487
10/29/2015,0.61808,,,0.61808,0.61808
10/30/2015,0.6255487,,,0.6255487,0.6255487
10/31/2015,0.61808,,,0.61808,0.61808
11/1/2015,0.6032454,,,0.6032454,0.6032454
11/2/2015,0.5848932,,,0.5848932,0.5848932
11/3/2015,0.56314766,,,0.56314766,0.56314766
11/4/2015,0.54525447,,,0.54525447,0.54525447
11/5/2015,0.5310875,,,0.5310875,0.5310875
11/6/2015,0.5170504,,,0.5170504,0.5170504
11/7/2015,0.4996848,,,0.4996848,0.4996848
11/8/2015,0.4859357,,,0.4859357,0.4859357
11/9/2015,0.4859357,,,0.4859357,0.4859357
11/10/2015,0.4927944,,,0.4927944,0.4927944
11/11/2015,0.4927944,,,0.4927944,0.4927944
11/12/2015,0.4859357,,,0.4859357,0.4859357
11/13/2015,0.4689263,,,0.4689263,0.4689263
11/14/2015,0.4521116,,,0.4521116,0.4521116
11/15/2015,0.44543982,,,0.44543982,0.44543982
11/16/2015,0.44543982,,,0.44543982,0.44543982
11/17/2015,0.42889392,,,0.42889392,0.42889392
11/18/2015,0.42232883,,,0.42232883,0.42232883
11/19/2015,0.41253757,,,0.41253757,0.41253757
11/20/2015,0.39958727,,,0.39958727,0.39958727
11/21/2015,0.46217716,,,0.46217716,0.46217716
11/22/2015,0.44543982,,,0.44543982,0.44543982
11/23/2015,0.43879855,,,0.43879855,0.43879855
11/24/2015,0.42232883,,,0.42232883,0.42232883
11/25/2015,0.41253757,,,0.41253757,0.41253757
11/26/2015,0.40604758,,,0.40604758,0.40604758
11/27/2015,0.38995266,,,0.38995266,0.38995266
11/28/2015,0.38356638,,,0.38356638,0.38356638
11/29/2015,0.37404191,,,0.37404191,0.37404191
11/30/2015,0.36772883,,,0.36772883,0.36772883
12/1/2015,0.35831344,,,0.35831344,0.35831344
12/2/2015,0.3520726,,,0.3520726,0.3520726
12/3/2015,0.34276497,,,0.34276497,0.34276497
12/4/2015,0.34276497,,,0.34276497,0.34276497
12/5/2015,0.33659554,,,0.33659554,0.33659554
12/6/2015,0.3273945,,,0.3273945,0.3273945
12/7/2015,0.32129562,,,0.32129562,0.32129562
12/8/2015,0.32129562,,,0.32129562,0.32129562
12/9/2015,0.31219995,,,0.31219995,0.31219995
12/10/2015,0.30617082,,,0.30617082,0.30617082
12/11/2015,0.30617082,,,0.30617082,0.30617082
12/12/2015,0.29717922,,,0.29717922,0.29717922
12/13/2015,0.29717922,,,0.29717922,0.29717922
12/14/2015,0.2882495,,,0.2882495,0.2882495
12/15/2015,0.2882495,,,0.2882495,0.2882495
12/16/2015,0.28233063,,,0.28233063,0.28233063
12/17/2015,0.28233063,,,0.28233063,0.28233063
12/18/2015,0.27350307,,,0.27350307,0.27350307
12/19/2015,0.27350307,,,0.27350307,0.27350307
12/20/2015,0.27350307,,,0.27350307,0.27350307
12/21/2015,0.2647363,,,0.2647363,0.2647363
12/22/2015,0.2647363,,,0.2647363,0.2647363
12/23/2015,0.25892544,,,0.25892544,0.25892544
12/24/2015,0.25892544,,,0.25892544,0.25892544
12/25/2015,0.25892544,,,0.25892544,0.25892544
12/26/2015,0.25025904,,,0.25025904,0.25025904
12/27/2015,0.25025904,,,0.25025904,0.25025904
12/28/2015,0.25025904,,,0.25025904,0.25025904
12/29/2015,0.25025904,,,0.25025904,0.25025904
12/30/2015,0.24165225,,,0.24165225,0.24165225
12/31/2015,0.24165225,,,0.24165225,0.24165225
1/1/2016,0.24165225,,,0.24165225,0.24165225
1/2/2016,0.23310483,,,0.23310483,0.23310483
1/3/2016,0.23310483,,,0.23310483,0.23310483
1/4/2016,0.23310483,,,0.23310483,0.23310483
1/5/2016,0.23310483,,,0.23310483,0.23310483
1/6/2016,0.23310483,,,0.23310483,0.23310483
1/7/2016,0.22743928,,,0.22743928,0.22743928
1/8/2016,0.23310483,,,0.23310483,0.23310483
1/9/2016,0.21898961,,,0.21898961,0.21898961
1/10/2016,0.21898961,,,0.21898961,0.21898961
1/11/2016,0.21898961,,,0.21898961,0.21898961
1/12/2016,0.21898961,,,0.21898961,0.21898961
1/13/2016,0.21898961,,,0.21898961,0.21898961
1/14/2016,0.21898961,,,0.21898961,0.21898961
1/15/2016,0.21898961,,,0.21898961,0.21898961
1/16/2016,0.21898961,,,0.21898961,0.21898961
1/17/2016,0.21898961,,,0.21898961,0.21898961
1/18/2016,0.21898961,,,0.21898961,0.21898961
1/19/2016,0.21898961,,,0.21898961,0.21898961
1/20/2016,0.20226443,,,0.20226443,0.20226443
1/21/2016,0.20226443,,,0.20226443,0.20226443
1/22/2016,0.20226443,,,0.20226443,0.20226443
1/23/2016,0.20226443,,,0.20226443,0.20226443
1/24/2016,0.20226443,,,0.20226443,0.20226443
1/25/2016,0.20226443,,,0.20226443,0.20226443
1/26/2016,0.20226443,,,0.20226443,0.20226443
1/27/2016,0.20226443,,,0.20226443,0.20226443
1/28/2016,0.20226443,,,0.20226443,0.20226443
1/29/2016,0.20226443,,,0.20226443,0.20226443
1/30/2016,0.20226443,,,0.20226443,0.20226443
1/31/2016,0.20226443,,,0.20226443,0.20226443
2/1/2016,0.20226443,,,0.20226443,0.20226443
2/2/2016,0.18850219,,,0.18850219,0.18850219
2/3/2016,0.18850219,,,0.18850219,0.18850219
2/4/2016,0.18850219,,,0.18850219,0.18850219
2/5/2016,0.18850219,,,0.18850219,0.18850219
2/6/2016,0.18850219,,,0.18850219,0.18850219
2/7/2016,0.18850219,,,0.18850219,0.18850219
2/8/2016,0.18850219,,,0.18850219,0.18850219
2/9/2016,0.18850219,,,0.18850219,0.18850219
2/10/2016,0.18850219,,,0.18850219,0.18850219
2/11/2016,0.18850219,,,0.18850219,0.18850219
2/12/2016,0.18850219,,,0.18850219,0.18850219
